title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Riviera Woods,Yes,"4, 5 BHK  Apartment",,Upcoming Projects,1.48 - 1.89 Cr.,Shela,HN Safal Infra Developers Pvt.Ltd.,148.0,189.0,168.5
HN Jai Hind,Yes,Business Center,,Upcoming Projects,60 - 90 Lac,S G Highway,HN Safal Infra Developers Pvt.Ltd.,60.0,90.0,75.0
Suvidha Stellar,Yes,Business Center,,Completed Projects,1.93 - 6.93 Cr.,Bodakdev,Suvidha Projects Pvt Ltd.,193.0,693.0,443.0
Orchid Legacy,Yes,"3, 4, 5 BHK  Apartment",,Upcoming Projects,64.41 Lac - 1.36 Cr.,S P Ring Road,HN Safal Infra Developers Pvt.Ltd.,64.41,136.0,100.205
Vraj Oriana,Yes,3 BHK  Apartment,,Ongoing Projects,90 Lac - 1 Cr.,Prahlad Nagar,VRAJ GROUP,90.0,100.0,95.0
Vraj Valencia,Yes,Commercial Shops,,Completed Projects,55 Lac - 1 Cr.,Sola,VRAJ GROUP,55.0,100.0,77.5
Arista Belvedere Park,No,4 BHK  Apartment,,Completed Projects,2.53 Cr.,Bodakdev,Arista Life Spaces,252.99999999999997,252.99999999999997,252.99999999999997
Arista Swastik Vihar,No,Residential Plot,,Completed Projects,23 - 50 Lac,Bavla,Arista Life Spaces,23.0,50.0,36.5
Malabar County,No,"2, 3 BHK  Apartment",,Ongoing Projects,35.71 - 45.35 Lac,S G Highway,Ganesh Corporate House,35.71,45.35,40.53
BelleVue Vieraaa,No,"1, 2 BHK  Apartment",,Ongoing Projects,16 Lac - 1.10 Cr.,Bavla,Davda Infrastructure Private Limited,16.0,110.00000000000001,63.00000000000001
Karmayog Heights,Yes,"3, 4 BHK  Apartment",,Ongoing Projects,1.56 - 2.04 Cr.,Navrangpura,SETU BUILDERS,156.0,204.0,180.0
Satyam 64,Yes,Commercial Shops,,Completed Projects,None,S G Highway,Satyam Developers Ltd.,,,
Arvind Aavishkaar,Yes,2 BHK  Apartment,,Ongoing Projects,31 Lac,Naroda,Arvind Smartspaces,31.0,31.0,31.0
Sangani Sapphire Greens,No,3 BHK  Apartment,30,Completed Projects,None,Thaltej,Sangani Infrastructure India Pvt. Ltd.,,,
Sangani Vrajbhoomi,Yes,"3, 4 BHK  Apartment",146,Completed Projects,42.99 - 66.99 Lac,Vatva,Sangani Infrastructure India Pvt. Ltd.,42.99,66.99,54.989999999999995
Sangani Aditya Heights,No,3 BHK  Apartment,104,Completed Projects,None,Motera,Sangani Infrastructure India Pvt. Ltd.,,,
Sangani Shaligram Lakeview,Yes,"2, 3, 4 BHK  Apartment",396,Completed Projects,None,S P Ring Road,Sangani Infrastructure India Pvt. Ltd.,,,
Sangani Samruddhi Residency,No,"1, 2 BHK  Apartment",555,Completed Projects,12.21 - 21.61 Lac,Narol,Sangani Infrastructure India Pvt. Ltd.,12.21,21.61,16.91
Sangani Platinum,No,"2, 3 BHK  Apartment",284,Completed Projects,14.35 - 30.02 Lac,Narol,Sangani Infrastructure India Pvt. Ltd.,14.35,30.02,22.185
Sangani Signor Residency,No,"2, 3 BHK  Apartment",80,Completed Projects,None,Satellite,Sangani Infrastructure India Pvt. Ltd.,,,
Sangani Samarthya Residency,No,"2, 3 BHK  Apartment",60,Completed Projects,None,Chandkheda,Sangani Infrastructure India Pvt. Ltd.,,,
sangani Signor Residency Motera,No,3 BHK  Apartment,80,Completed Projects,None,Motera,Sangani Infrastructure India Pvt. Ltd.,,,
Golden Swarnim Stone,Yes,3 BHK  Apartment,104,Ongoing Projects,67.99 Lac,S G Highway,Swarnim Group,67.99,67.99,67.99
Golden Swarnim Bungalows,No,5 BHK  Apartment,19,Completed Projects,None,Ognaj,Swarnim Group,,,
Golden Swarnim Sky,Yes,"3, 4 BHK  Apartment",84,Ongoing Projects,79.99 Lac - 1.05 Cr.,Ognaj,Swarnim Group,79.99,105.0,92.495
Elegance Earth Errita,No,4 BHK  Apartment,12,Completed Projects,None,Thaltej,Elegance Skyz,,,
Elegance Earth 12,No,4 BHK  Apartment,12,Completed Projects,None,Ambli,Elegance Skyz,,,
Elegance Earth Aroma,No,2 BHK  Apartment,60,Completed Projects,None,Santej,Elegance Skyz,,,
Infinity City,No,Residential Plot,48,Ongoing Projects,None,Dholera,Infinity Infra,,,
Infinity Greenfield Gorasu,No,Residential Plot,39,Completed Projects,None,Dholera,Infinity Infra,,,
India Greenland,No,Residential Plot,3268,Completed Projects,6.29 Lac - 1.45 Cr.,Nalsarover,India Green Reality Ltd,6.29,145.0,75.645
Merlin Arham,No,3 BHK  Apartment,15,Completed Projects,None,Paldi,Merlin Group,,,
Paghadi Gulab Weekend Farmhouses,No,2 BHK  Apartment,52,Completed Projects,51.99 - 59.99 Lac,Sanand,Paghadi Infratech,51.99,59.99,55.99
Paghadi Amaranthus Villas,No,4 BHK  Apartment,48,Completed Projects,None,Sola,Paghadi Infratech,,,
Vyapti Vraj Homes,No,2 BHK  Apartment,149,Completed Projects,None,Shela,Vyapti Companies,,,
Yash Pinnacle,Yes,2 BHK  Apartment,193,Completed Projects,None,Paldi,YASH GROUP OF COMPANIES,,,
Sheetal Aqua,Yes,3 BHK  Apartment,140,Completed Projects,2.05 - 3.17 Cr.,Shahibaug,Sheetal Infrastructure,204.99999999999997,317.0,261.0
Sparsh Sparsh Villa,No,4 BHK  Apartment,39,,None,Dholka,Sparsh Developers,,,
Sparsh Dev Residency,No,Flats & Apartments,188,Completed Projects,None,Nikol,Sparsh Developers,,,
Zaveri Amara,Yes,"4, 5 BHK  Apartment",56,Ongoing Projects,None,Bodakdev,Zaveri Realty,,,
Sparsh Atithi,No,"1, 2 BHK  Apartment",88,Completed Projects,None,Chandkheda,Sparsh Developers,,,
Sparsh Sawan Villa,No,4 BHK  Apartment,39,Completed Projects,None,Dholka,Sparsh Developers,,,
