title,Rera registered,property_type,total_units,possession_status,Price,Location,Builder,Min Price,Max Price,Average Price
Savvy Solaris,No,"2, 3 BHK  Apartment",,Ongoing Projects,40 - 58 Lac,Motera,Saumya Construction Pvt. Ltd.,40.0,58.0,49.0
Neelkanth Elegance,No,2 BHK  Apartment,,Ongoing Projects,55.01 - 56.90 Lac,Satellite,Dharmadev Infrastructure Ltd.,55.01,56.9,55.955
Binori Solitaire,No,3 BHK  Apartment,,Ongoing Projects,71 Lac,South Bopal,Binori Infrastructure Pvt. Ltd.,71.0,71.0,71.0
Gala Aria,No,"2, 3 BHK  Apartment",,Ongoing Projects,36 - 68 Lac,South Bopal,Gala Infrastructure,36.0,68.0,52.0
Siddhi Aarohi Crest,No,3 BHK  Apartment,,Ongoing Projects,65 Lac,South Bopal,Siddhi Developers,65.0,65.0,65.0
Sepal Exotica,No,3 BHK  Apartment,,Ongoing Projects,90 Lac,Thaltej,Siddhi Developers,90.0,90.0,90.0
Straft Luxuria,No,"1, 3 BHK  Apartment",,Ongoing Projects,None,Navrangpura,AKG,,,
Neelkanth Orchid,No,2 BHK  Apartment,,Ongoing Projects,35 Lac,Bopal,Dharmadev Infrastructure Ltd.,35.0,35.0,35.0
Sankalp Sapphire,No,4 BHK  Apartment,,Ongoing Projects,2.40 Cr.,Prahlad Nagar,Sankalp Organisers,240.0,240.0,240.0
Shree Vishnudhara Homes,No,2 BHK  Apartment,,Ongoing Projects,None,Gota,Art Nirman Pvt Ltd,,,
Shyam Serenity,No,3 BHK  Apartment,,Ongoing Projects,None,Motera,Shyam Developer,,,
Prathna Lavish,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Gota,Prathna Buildcon Pvt Ltd,,,
Ganesh Maple County,No,3 BHK  Apartment,,Ongoing Projects,85 - 90 Lac,Thaltej,Ganesh Housing Corporation Limited,85.0,90.0,87.5
Shaligram Coral,No,3 BHK  Apartment,,Ongoing Projects,23 Lac,Thaltej,Shaligram Buildcon Pvt. Ltd.,23.0,23.0,23.0
The Meadows,No,"3, 4 BHK  Apartment",,Ongoing Projects,1.06 Cr.,Sanathal,Pacifica Companies,106.0,106.0,106.0
Swaminarayan Park 2,No,2 BHK  Apartment,,Ongoing Projects,34 Lac,Vasna,Dharmadev Infrastructure Ltd.,34.0,34.0,34.0
Maher Homes,No,2 BHK  Apartment,,Ongoing Projects,38 Lac,Shela,Vishwanath Realtor,38.0,38.0,38.0
Nisarg Dreams,No,2 BHK  Apartment,,Ongoing Projects,30 Lac,Shilaj,Krish Developers,30.0,30.0,30.0
Unique Ashiyana,No,1 BHK  Apartment,,Ongoing Projects,24 Lac,Gota,Unique Infra Space,24.0,24.0,24.0
Prathana Elegance,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Gota,Prathana Buildcon Pvt Ltd,,,
Pacifica Green Acres,No,3 BHK  Apartment,,Ongoing Projects,85 - 90 Lac,Prahlad Nagar,Pacifica Companies,85.0,90.0,87.5
Aarohi Crest,No,3 BHK  Apartment,,Ongoing Projects,61 Lac,Bopal,Siddhi Developers,61.0,61.0,61.0
Maruti Renesa,No,"3, 4 BHK  Apartment",,Ongoing Projects,None,Ambawadi,Maruti Group,,,
Galaxy Homes,No,1 BHK  Apartment,,Ongoing Projects,None,Kathwada,Galaxy Group,,,
Aagam 99 Residency,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Sanand,Aagam Group,,,
Arvind Citadel,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,None,Chimanlal Girdharlal Road,Arvind Infrastructure Ltd.,,,
Ganesh Genesis,No,"2, 3 BHK  Apartment",,Ongoing Projects,30 - 53 Lac,S G Highway,Shree Siddhi Group,30.0,53.0,41.5
Anand Square,No,2 BHK  Apartment,,Ongoing Projects,None,Tragad,B Desai Group,,,
Sankalp Grace2,No,4 BHK  Apartment,,Ongoing Projects,1.89 Cr.,Bopal,Sankalp Organisers,189.0,189.0,189.0
Ora Bella,No,3 BHK  Apartment,,Ongoing Projects,65 Lac,Thaltej,Soniz Group,65.0,65.0,65.0
Vandematram Fabula,No,"2, 3 BHK  Apartment",,Ongoing Projects,33 - 40 Lac,S G Highway,Vyapti Companies,33.0,40.0,36.5
Aantarkshitij,No,Residential Plot,,Ongoing Projects,None,Shilaj,Saumya Construction Pvt. Ltd.,,,
Shivalik Residences,No,"4, 5 BHK  Apartment",,Ongoing Projects,3.15 - 3.85 Cr.,Shahibaug,Shivalik Projects,315.0,385.0,350.0
Shivalik Lakeview,No,4 BHK  Apartment,,Ongoing Projects,1.25 - 1.43 Cr.,Maninagar,Shivalik Projects,125.0,143.0,134.0
Vandemataram Crosswind,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Gota,Vyapti Infrabuild Pvt. Ltd.,,,
Indraprasth Kadamb,No,4 BHK  Apartment,,Ongoing Projects,2.20 Cr.,Prahlad Nagar,Deep Group Of Companies,220.00000000000003,220.00000000000003,220.00000000000003
Satyam Insignia,No,"3, 4 BHK  Apartment",,Ongoing Projects,1.79 - 2.41 Cr.,Satellite,Satyam Developers Ltd.,179.0,241.0,210.0
Riviera Blues,No,4 BHK  Apartment,,Ongoing Projects,1.46 Cr.,Prahlad Nagar,Goyal and Company,146.0,146.0,146.0
Sorrel Apartments,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,62 Lac,Bopal,Applewoods Estate Pvt. Ltd.,62.0,62.0,62.0
Dev Aurum,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,1.06 - 1.50 Cr.,Prahlad Nagar,DEV Group,106.0,150.0,128.0
Maple County II,No,3 BHK  Apartment,,Ongoing Projects,85 Lac,Thaltej,Ganesh Housing Corporation Limited,85.0,85.0,85.0
Nilkanth Greens,No,"1, 2 BHK  Apartment",,Ongoing Projects,None,Vastral,Neelkanth Group,,,
Adani Aangan,No,"1, 2, 3 BHK  Apartment",,Ongoing Projects,19 - 22 Lac,S G Highway,Adani Group,19.0,22.0,20.5
Adani Elysium,No,2 BHK  Apartment,,Ongoing Projects,35 Lac,S G Highway,Adani Group,35.0,35.0,35.0
Project Dev 181,No,3 BHK  Apartment,,Ongoing Projects,60 Lac,Bopal,DEV Group,60.0,60.0,60.0
Gala Aura,No,"3, 4 BHK  Apartment",,Ongoing Projects,95 Lac - 1.12 Cr.,Bopal,Gala Group,95.0,112.00000000000001,103.5
Palm Meadows,No,"2, 3 BHK  Apartment",,Ongoing Projects,40 Lac,S G Highway,Poddar Group,40.0,40.0,40.0
Shreekunj Highend Apartments,No,2 BHK  Apartment,,Ongoing Projects,None,Satellite,Nidhi Creators,,,
Sandesh Shashwat Residency,No,"2, 3, 4 BHK  Apartment",,Ongoing Projects,None,S G Highway,Adani Group,,,
Vedant Kadam,No,3 BHK  Apartment,,Ongoing Projects,None,Science City,V Square Projects,,,
Shanti Shukra,No,1 BHK  Apartment,,Ongoing Projects,None,Narolgam,Shukra Group,,,
Glade One,No,"1, 2, 3, 4 BHK  Apartment",,Ongoing Projects,1.62 - 2.84 Cr.,Sanand,Bsafal Constructions,162.0,284.0,223.0
Arise Western,No,3 BHK  Apartment,,Ongoing Projects,None,S G Highway,Arise Group,,,
Arise Icon,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,S G Highway,Arise Group,,,
Arise Pride,No,3 BHK  Apartment,,Ongoing Projects,None,S G Highway,Arise Group,,,
Leela Palak,No,3 BHK  Apartment,,Ongoing Projects,1.26 Cr.,S G Highway,Leela Buildcon,126.0,126.0,126.0
Shree Vishnudhara Crossroad,No,"1, 2, 3 BHK  Apartment",,Ongoing Projects,44 Lac,Gota,Art Nirman Pvt Ltd,44.0,44.0,44.0
Rajyash Richmond,No,5 BHK  Apartment,,Ongoing Projects,3.24 - 3.38 Cr.,Bodakdev,Rajyash Group,324.0,338.0,331.0
Reevanta,No,2 BHK  Apartment,,Ongoing Projects,27 Lac,Vasna,Rajyash Group,27.0,27.0,27.0
Aditya Heavens,No,3 BHK  Apartment,,Ongoing Projects,None,Chandkheda,Acme infrastructures,,,
Merlin Opal,No,3 BHK  Apartment,,Ongoing Projects,1.25 Cr.,C. G. Road,Merlin projects Ltd,125.0,125.0,125.0
Sun South Park,No,3 BHK  Apartment,,Ongoing Projects,35 Lac,South Bopal,Sun Builders,35.0,35.0,35.0
Zodiac Aarish,No,"3, 4 BHK  Apartment",,Ongoing Projects,1.15 Cr.,Jodhpur,Zodiac Developers,114.99999999999999,114.99999999999999,114.99999999999999
Indraprasth 5,No,3 BHK  Apartment,,Completed Projects,12 Lac,Prahlad Nagar,Pacifica Companies,12.0,12.0,12.0
Ganesh Housing Maple Country,No,3 BHK  Apartment,,Ongoing Projects,90 Lac,Thaltej,Ganesh Housing Corporation Limited,90.0,90.0,90.0
Laxmi Nivas,No,1 BHK  Apartment,,Completed Projects,13 Lac,Narolgam,Saumya Construction Pvt. Ltd.,13.0,13.0,13.0
Palak Elina,No,5 BHK  Apartment,,Ongoing Projects,3.50 Cr.,Ambli,Shree Developers,350.0,350.0,350.0
Shaligram Plush,No,"4, 5 BHK  Apartment",,Ongoing Projects,1.36 Cr.,Thaltej,Shaligram group,136.0,136.0,136.0
Orchid Green Field,No,"2, 3 BHK  Apartment",,Ongoing Projects,31 - 48 Lac,Sardar Patel Ring Road,Saumya Construction Pvt. Ltd.,31.0,48.0,39.5
Sureel Sureel 1,No,3 BHK  Apartment,140,Completed Projects,None,Bopal,Sureel Group,,,
Western Park,No,2 BHK  Apartment,,Ongoing Projects,None,Juhapura,Adani Group,,,
Arohi Elegance,No,3 BHK  Apartment,,Ongoing Projects,58 - 80 Lac,South Bopal,Siddhi Developers,58.0,80.0,69.0
Jaldeep Vertex,No,4 BHK  Apartment,,Ongoing Projects,16.40 Lac,Ambli,Maruti Group,16.4,16.4,16.4
Sureel Supan Premia,No,3 BHK  Apartment,4,Completed Projects,None,Mithakhali,Sureel Group,,,
Sureel Sureel 3,No,3 BHK  Apartment,36,Completed Projects,None,Jodhpur,Sureel Group,,,
Royal Orchid,No,3 BHK  Apartment,,Completed Projects,1 - 1.10 Cr.,Prahlad Nagar,Goyal and Company,100.0,110.00000000000001,105.0
Ratnakar Beaumonde,No,"3, 4, 5 BHK  Apartment",,Ongoing Projects,2.50 - 3 Cr.,Satellite,Nishant Construction Pvt. Ltd.,250.0,300.0,275.0
Ajmera Enigma,No,"3, 4 BHK  Apartment",,Ongoing Projects,94 Lac - 1.64 Cr.,S G Highway,DEV Group,94.0,164.0,129.0
Ishaan 2,No,3 BHK  Apartment,,Ongoing Projects,1.05 Cr.,Satellite,Vishwanath Realtor,105.0,105.0,105.0
Venus Ivy,No,3 BHK  Apartment,,Completed Projects,1.67 Cr.,Satellite,Venus Infrastructure and Developers Limited,167.0,167.0,167.0
Pushti Heights,No,Business Center,,Ongoing Projects,None,Memnagar,Pushti Group,,,
Savvy Swaraj,No,3 BHK  Apartment,,Ongoing Projects,50 Lac,S G Highway,Ganesh Housing Corporation Limited,50.0,50.0,50.0
Setu Scarlet,No,3 BHK  Apartment,,Ongoing Projects,None,Motera,Yashvi Construction,,,
Shafalya Vertis,Yes,"3, 4 BHK  Apartment",204,Completed Projects,1.54 Cr.,Thaltej,Shafalya Group,154.0,154.0,154.0
Shafalya Aurum Sky,No,"2, 3 BHK  Apartment",258,Completed Projects,None,Sola,Shafalya Group,,,
Raison Naiya Paradise,No,2 BHK  Apartment,170,Completed Projects,18.90 Lac,Vastral,Raison Infracon,18.9,18.9,18.9
Purohit Sopan Life Style,No,3 BHK  Apartment,10,Completed Projects,None,Jodhpur,Purohit Construction Ltd,,,
Raison Naiya 1,No,"1, 2 BHK  Apartment",107,Completed Projects,None,Sardar Patel Ring Rd,Raison Infracon,,,
Raison Naiya Apartment,No,"1, 2 BHK  Apartment",445,Completed Projects,None,Sardar Patel Ring Rd,Raison Infracon,,,
Raison Casa Elite,Yes,"2, 3, 4 BHK  Apartment",148,Completed Projects,43.79 - 91.63 Lac,S G Highway,Raison Infracon,43.79,91.63,67.71
Orchard Godrej Garden City,No,"2, 3 BHK  Apartment",,Ongoing Projects,37 - 57 Lac,S G Highway,Godrej Properties Limited,37.0,57.0,47.0
Riviera Exotica,No,"4, 5 BHK  Apartment",,Completed Projects,25.20 Lac,Vastrapur,Goyal and Company,25.2,25.2,25.2
Purohit Sopan Sagar,No,2 BHK  Apartment,120,Completed Projects,None,Paldi,Purohit Construction Ltd,,,
Unique Aashiyana,Yes,"2, 3 BHK  Apartment",336,Completed Projects,35.37 - 66 Lac,Gota,Unique Infraspace,35.37,66.0,50.685
Unique Essenza,No,"2, 3 BHK  Apartment",80,Completed Projects,None,Sola,Unique Infraspace,,,
Unique Lake Square,No,"2, 3 BHK  Apartment",50,Completed Projects,46.66 - 64.05 Lac,S G Highway,Unique Infraspace,46.66,64.05,55.355
PSY Pramukh Exotica,No,2 BHK  Apartment,64,Completed Projects,None,Gandhinagar Highway,PSY Projects,,,
KP Residency,No,"1 RK  / 1, 2 BHK  Apartment",,Ongoing Projects,None,Nikol,KP Sanghvi Group,,,
KP Heights,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Odhav,KP Sanghvi Group,,,
KP Courtyard,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Sanathal,KP Sanghvi Group,,,
KP Villas,No,"4, 5 BHK  Apartment",,Ongoing Projects,None,Sanathal,KP Sanghvi Group,,,
KP Samay,No,4 BHK  Apartment,,Ongoing Projects,None,Nikol,KP Sanghvi Group,,,
Orchid Greenfields,No,"2, 3 BHK  Apartment",,Completed Projects,30 - 47 Lac,Shela,Goyal and Company,30.0,47.0,38.5
Godrej Garden City Carmel Tower,No,"1, 2, 3 BHK  Apartment",,Completed Projects,21 - 77.38 Lac,S G Highway,Godrej Properties Limited,21.0,77.38,49.19
Sukrut Repose,No,3 BHK  Apartment,,Ongoing Projects,None,Ambli,Ess Gee Sukrut Pvt. Ltd.,,,
Indraprasth 9,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Ranip,Deep Group Of Companies,,,
Satyadeep Heights,No,"2, 3 BHK  Apartment",,Ongoing Projects,75 Lac,Makarba,Deep Group Of Companies,75.0,75.0,75.0
Mondeal Heights,No,Office Space,,Ongoing Projects,65 Lac,S G Highway,HN SAFAL REALTY PVT LTD,65.0,65.0,65.0
Samprat Residency,No,3 BHK  Apartment,,Ongoing Projects,43 - 49 Lac,Shilaj,Bsafal Constructions,43.0,49.0,46.0
Indraprasth 10,No,4 BHK  Apartment,,Ongoing Projects,None,Bodakdev,Deep Group Of Companies,,,
Al Burooj,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Makarba,Deep Group Of Companies,,,
Indraprasth 8 Frangipani,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Thaltej,Deep Group Of Companies,,,
Indraprasth Drive In,No,2 BHK  Apartment,,Completed Projects,42 Lac,Drive In Road,Deep Group Of Companies,42.0,42.0,42.0
SUMEL 8,No,Office Space,,Ongoing Projects,None,Rakhial,HN SAFAL REALTY PVT LTD,,,
Silver Casa,No,2 BHK  Apartment,,Ongoing Projects,None,Thaltej,Avirat Infrastructure Pvt Ltd,,,
Silver Gardenia,No,"2, 4 BHK  Apartment",,Ongoing Projects,None,Gota,Avirat Infrastructure Pvt Ltd,,,
Silveraltezza,No,3 BHK  Apartment,,Ongoing Projects,None,Sola,Avirat Infrastructure Pvt Ltd,,,
Silver Radiance,No,Business Center,,Ongoing Projects,None,Bodakdev,Avirat Infrastructure Pvt Ltd,,,
Silver Star Heights,No,2 BHK  Apartment,,Completed Projects,33 Lac,Chandlodia,Avirat Infrastructure Pvt Ltd,33.0,33.0,33.0
JBR Ayodhya Apartment,No,"1, 2, 3 BHK  Apartment",360,Completed Projects,13.12 - 18.28 Lac,Vatva,JBR Nirmaan Pvt. Ltd.,13.12,18.28,15.7
JBR Residency,No,"2, 3 BHK  Apartment",84,Completed Projects,None,Sola,JBR Nirmaan Pvt. Ltd.,,,
JBR 100 Acres,No,Residential Plot,272,Completed Projects,18.99 Lac - 1.13 Cr.,Nalsarover,JBR Nirmaan Pvt. Ltd.,18.99,112.99999999999999,65.99499999999999
Safal Parisar 1,No,"2, 3 BHK  Apartment",,Ongoing Projects,45 - 52 Lac,South Bopal,HN SAFAL REALTY PVT LTD,45.0,52.0,48.5
Maple Tree Garden Homes,No,"3, 4 BHK  Apartment",,Ongoing Projects,12.60 - 23.50 Lac,Thaltej,Ganesh Housing Corporation Limited,12.6,23.5,18.05
Asmaakam,No,2 BHK  Apartment,,Completed Projects,32 - 37 Lac,Vejalpur,Nila Infrastructure Ltd,32.0,37.0,34.5
Heritage Opus,No,4 BHK  Apartment,,Ongoing Projects,23.50 Lac,Prahlad Nagar,Adi - Heritage Group,23.5,23.5,23.5
JMPC Meadows,No,Residential Plot,,Ongoing Projects,4.32 Lac,Dholera,JMPC Builtline,4.32,4.32,4.32
Bhagirath Lake City,No,"1, 2, 3, 4 BHK  Apartment",,Ongoing Projects,None,Sanand,Bhagirath Group of Builders and Promoters,,,
Dholera 955,No,Residential Plot,,Ongoing Projects,71.14 Lac - 1.42 Cr.,Dholera,JMPC Builtline,71.14,142.0,106.57
Vibraant 839,No,Residential Plot,,Ongoing Projects,None,Dholera,JMPC Builtline,,,
Aditya Park,No,Residential Plot,,Ongoing Projects,None,Dholera,Jivandeep Infrastructure,,,
Abhay Smart City,No,Residential Plot,,Ongoing Projects,None,Dholera,INJP Buildline,,,
Green City,No,2 BHK  Apartment,,Ongoing Projects,36 Lac,Nirnay Nagar,Khyati Realities Limited,36.0,36.0,36.0
Vishal Tower,No,3 BHK  Apartment,120,Completed Projects,77.76 Lac,Prahlad Nagar,Goyal and Company,77.76,77.76,77.76
Kamnath Sepal Exotica,No,3 BHK  Apartment,60,Completed Projects,None,Thaltej,Kamnath Infrasructure Pvt. Ltd.,,,
Kamnath Sepal Residency,No,4 BHK  Apartment,56,Completed Projects,None,Satellite,Kamnath Infrasructure Pvt. Ltd.,,,
Kamnath Sepal Garnet,No,4 BHK  Apartment,40,Completed Projects,None,Prahlad Nagar,Kamnath Infrasructure Pvt. Ltd.,,,
Kamnath Bansari Apartment,No,3 BHK  Apartment,15,Completed Projects,None,Satellite,Kamnath Infrasructure Pvt. Ltd.,,,
Himalaya Pearl,No,"2, 3 BHK  Apartment",88,Completed Projects,41.27 - 41.91 Lac,Motera,Himalaya Buildcon P Ltd,41.27,41.91,41.59
Himalaya Zircon,No,"2, 3 BHK  Apartment",300,Completed Projects,28 - 33.60 Lac,Motera,Himalaya Buildcon P Ltd,28.0,33.6,30.8
Himalaya Calista,No,3 BHK  Apartment,20,Completed Projects,None,Paldi,Himalaya Buildcon P Ltd,,,
Himalaya Oasis,No,"3, 4 BHK  Apartment",10,Completed Projects,None,Jodhpur,Himalaya Buildcon P Ltd,,,
Kamnath Sepal Solitaire,No,4 BHK  Apartment,16,Completed Projects,None,Jodhpur,Kamnath Infrasructure Pvt. Ltd.,,,
Balleshwar Bungalow,No,3 BHK  Apartment,55,Completed Projects,None,Bopal,Balleshwar Builders,,,
Bhagirath Serenity,No,3 BHK  Apartment,,Completed Projects,46.07 - 50.16 Lac,Lambha,Bhagirath Group of Builders and Promoters,46.07,50.16,48.114999999999995
Venus Parkheights,Yes,2 BHK  Apartment,100,Completed Projects,37.18 Lac,Juhapura,Venus Infrastructure and Developers Limited,37.18,37.18,37.18
Takshashila Trezure Enclave,No,3 BHK  Apartment,33,Completed Projects,1.44 Cr.,Thaltej,Takshashila,144.0,144.0,144.0
Takshashila Residency,No,"1, 2 BHK  Apartment",310,Completed Projects,None,Nava Naroda,Takshashila,,,
Takshashila Raghav Bunglaws,No,4 BHK  Apartment,71,Completed Projects,71.97 Lac - 1.05 Cr.,Nava Naroda,Takshashila,71.97,105.0,88.485
Shree Ashray Serene,No,3 BHK  Apartment,56,Completed Projects,59.67 Lac,Chandkheda,Shree AmthiNath Developer LLP,59.67,59.67,59.67
Shree Ashray Heaven,Yes,"3, 4 BHK  Apartment",74,Completed Projects,81.32 Lac - 1.08 Cr.,Science City,Shree AmthiNath Developer LLP,81.32,108.0,94.66
7 Oak Greens,No,Residential Plot,,Ongoing Projects,None,Dholera,7 oak Developers,,,
Nila Atuulyam,No,"2, 3 BHK  Apartment",200,Completed Projects,49.59 - 66.69 Lac,Makarba,Nila Infrastructure Ltd,49.59,66.69,58.14
Nila Anaahata,No,2 BHK  Apartment,44,Completed Projects,44 - 45.63 Lac,Makarba,Nila Infrastructure Ltd,44.0,45.63,44.815
Nila Anvayaa,No,3 BHK  Apartment,44,Completed Projects,None,Makarba,Nila Infrastructure Ltd,,,
Nila Anuraadhaa,No,3 BHK  Apartment,16,Completed Projects,None,Navrangpura,Nila Infrastructure Ltd,,,
7 Oak Platinum,No,Residential Plot,,Ongoing Projects,None,Dholera,7 oak Developers,,,
Nila Asmaakam,No,"2, 3 BHK  Apartment",130,Completed Projects,None,Vejalpur,Nila Infrastructure Ltd,,,
Anand ILYF,No,"2, 3 BHK  Apartment",,Ongoing Projects,None,Tragad,Anand Innovative,,,
Sudev Flora,No,"1, 2 BHK  Apartment",,Ongoing Projects,17 Lac,Vatva,Aspee Group,17.0,17.0,17.0
Swatik Elements,No,2 BHK  Apartment,,Ongoing Projects,35 Lac,S P Ring Road,Shapers Buildcon,35.0,35.0,35.0
Samved Satej Enclave,No,3 BHK  Apartment,15,Completed Projects,None,Navrangpura,Samved Engineers,,,
Saumya Aryaman,No,"4, 5 BHK  Apartment",183,Completed Projects,None,Thaltej,Saumya Construction Pvt.Ltd,,,
Saumya Amrapalash,No,4 BHK  Apartment,43,Completed Projects,None,Satellite,Saumya Construction Pvt.Ltd,,,
Saumya Amrakadamb,No,"2, 3 BHK  Apartment",43,Completed Projects,None,Satellite,Saumya Construction Pvt.Ltd,,,
Risha One 49,Yes,"3, 4, 5 BHK  Apartment",104,Ongoing Projects,1.64 - 2.71 Cr.,Ambli,Risha Developers,164.0,271.0,217.5
Risha Abhishree Residency II,No,3 BHK  Apartment,21,Completed Projects,None,Bodakdev,Risha Developers,,,
Risha Aakash Bungalows,No,3 BHK  Apartment,110,Completed Projects,None,Dholka,Risha Developers,,,
Risha Belvedere,No,4 BHK  Apartment,5,Completed Projects,None,Jodhpur Road,Risha Developers,,,
Risha Aavkar Apartments,No,3 BHK  Apartment,16,Completed Projects,None,Ambawadi,Risha Developers,,,
Saumya Asopaalav,No,Individual Houses,76,Completed Projects,None,Thaltej,Saumya Construction Pvt.Ltd,,,
Saumya Amrashirish,No,4 BHK  Apartment,37,Completed Projects,None,Prahlad Nagar,Saumya Construction Pvt.Ltd,,,
Saumya Akaashneem,No,3 BHK  Apartment,43,Completed Projects,None,Vastrapur,Saumya Construction Pvt.Ltd,,,
Saumya Amaltas,No,2 BHK  Apartment,36,Completed Projects,None,Vastrapur,Saumya Construction Pvt.Ltd,,,
Dharmadev Neelkanth Villa,No,3 BHK  Apartment,185,Completed Projects,67.49 Lac,Bopal,Dharmadev Infrastructure Ltd.,67.49,67.49,67.49
Dharmadev Neelkanth Retreat,No,2 BHK  Apartment,40,Completed Projects,None,Vasna,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Park 3,No,"2, 3 BHK  Apartment",360,Completed Projects,None,Vasna,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Castle 1,No,2 BHK  Apartment,256,Completed Projects,None,Ranip,Dharmadev Infrastructure Ltd.,,,
Balleshwar Upvan,No,"2, 3 BHK  Apartment",125,Completed Projects,None,Bopal,Balleshwar Builders,,,
Balleshwar Saundarya Villa,No,3 BHK  Apartment,12,Completed Projects,None,Ambli,Balleshwar Builders,,,
Balleshwar Krupa,No,"2, 3 BHK  Apartment",50,Completed Projects,None,Bopal,Balleshwar Builders,,,
Balleshwar Vihar,No,"2, 3 BHK  Apartment",56,Completed Projects,None,Bopal,Balleshwar Builders,,,
Balleshwar Gold,No,3 BHK  Apartment,37,Completed Projects,None,Bopal,Balleshwar Builders,,,
Balleshwar Homes,No,3 BHK  Apartment,56,Completed Projects,None,Hathijan,Balleshwar Builders,,,
Balleshwar City,No,3 BHK  Apartment,96,Completed Projects,44.99 Lac,Hathijan,Balleshwar Builders,44.99,44.99,44.99
Myco Ahmed Residency,No,2 BHK  Apartment,234,Completed Projects,17 - 22.99 Lac,Sarkhej,Myco Infrabuild,17.0,22.99,19.994999999999997
Myco Akibah Heights,No,"2, 3 BHK  Apartment",167,Ongoing Projects,26.55 - 33.75 Lac,Sarkhej,Myco Infrabuild,26.55,33.75,30.15
Balleshwar Sumukh Villa,No,Individual Houses,12,Completed Projects,None,Bopal,Balleshwar Builders,,,
Dharmadev Swaminarayan Park 6,Yes,1 BHK  Apartment,144,Completed Projects,None,Narol,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Park 8,No,"1, 2 BHK  Apartment",136,Completed Projects,None,Narol,Dharmadev Infrastructure Ltd.,,,
Dharmadev Neelkanth River View,No,3 BHK  Apartment,168,Completed Projects,None,Shahibaug,Dharmadev Infrastructure Ltd.,,,
Dharmadev Neelkanth Elegance,No,2 BHK  Apartment,176,Completed Projects,None,Satellite,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Park 1,No,2 BHK  Apartment,530,Completed Projects,None,Narol,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Castle II,No,1 BHK  Apartment,190,Completed Projects,None,Ranip,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Park 7,Yes,"1, 2 BHK  Apartment",139,Completed Projects,None,Narol,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Avenue,No,"2, 3 BHK  Apartment",200,Completed Projects,None,Naranpura,Dharmadev Infrastructure Ltd.,,,
Dharmadev Swaminarayan Park 2,Yes,2 BHK  Apartment,400,Completed Projects,35 - 37.80 Lac,Vasna,Dharmadev Infrastructure Ltd.,35.0,37.8,36.4
Maruti Celosia Greenscapes 2,No,Residential Plot,186,Completed Projects,None,Changodar,Maruti Group,,,
Magnanimous Pearl 2,No,Residential Plot,196,Completed Projects,5.40 Lac,Dholera,Magnanimous Infrastructure Pvt. Ltd,5.4,5.4,5.4
Magnanimous Pearl,No,Residential Plot,165,Completed Projects,4 - 17.98 Lac,Dholera,Magnanimous Infrastructure Pvt. Ltd,4.0,17.98,10.99
Magnanimous Pearl 3,No,Residential Plot,124,Completed Projects,6.30 - 32.29 Lac,Dholera,Magnanimous Infrastructure Pvt. Ltd,6.3,32.29,19.294999999999998
Magnanimous Greenz 2,No,Residential Plot,11,Completed Projects,57.02 Lac,Pipli,Magnanimous Infrastructure Pvt. Ltd,57.02,57.02,57.02
